"id","cuisine","rating","review_count","name","address","latitude","longitude","zipcode"
"nI1UYDCYUTt23TpGxqnLKg","Chinese",4,3386,"Buddakan","75 9th Ave",40.7422762672197,-74.0048000961542,"10011"
"0CjK3esfpFcxIopebzjFxA","Chinese",4,5068,"Joe's Shanghai","9 Pell St",40.7146691442891,-73.9977602206654,"10013"
"IhSVn0TaX8xXb3wcQ-fgcA","Chinese",4,2229,"Vanessa's Dumpling House","118A Eldridge St",40.71839,-73.9917399,"10002"
"X8ZS-dgiMIJvhwf9SaDnjw","Chinese",4.5,945,"Wah Fung No 1","79 Chrystie St",40.71735,-73.99457,"10002"
"Gd3_3mxOvj2xYiqysV8rbQ","Chinese",4,1466,"Xi'an Famous Foods","81 St Marks Pl",40.72782,-73.98551,"10003"
"Lbs8QBRN1U7IYBo5Mcv-RQ","Chinese",4,1377,"88 Lan Zhou Handmade Noodles & Dumplings","40 Bowery St",40.7156552,-73.9969012,"10013"
"HScFap2SwbUlfC-QXVkxFA","Chinese",4,1313,"Xi'an Famous Foods","24 W 45th St",40.75585,-73.98078,"10036"
"R26zweQ8-xoZS7iHkXQOvw","Chinese",4,1295,"Shanghai Asian Manor","21 Mott St",40.71441,-73.99902,"10013"
"M-odQWSEfsR2mVEw7nKG-g","Chinese",4,1777,"Nyonya","199 Grand St",40.7190148,-73.9968228,"10013"
"x_t-FtDa5HVgc-wecp0HBg","Chinese",3.5,2019,"Shanghai Cafe","100 Mott St",40.71726,-73.99721,"10013"
"H1jops1lmuhrq9lP7lEGJQ","Chinese",4,1046,"Flor De Mayo","484 Amsterdam Ave",40.78609,-73.97658,"10024"
"B3i4zs5wquFu1UZyzYJ-bQ","Chinese",3.5,1755,"BaoHaus","238 E 14th St",40.7324690923782,-73.9857136011124,"10003"
"97q5nUQTuBo_h00XCxna2A","Chinese",4,1353,"Tasty Hand-Pulled Noodles","1 Doyers St",40.7142,-73.99787,"10013"
"wfhMIiMh2A2psCGONOVSlg","Chinese",4,996,"Han Dynasty","90 3rd Ave",40.732072,-73.988074,"10003"
"xq0cX_DgxiJMXwhmEl9kUA","Chinese",4,1048,"Café China","13 E 37th St",40.7499225208569,-73.9819464127197,"10016"
"lynQoI3w_pzYfHGeuUU-Qg","Chinese",4.5,483,"Shu Jiao Fu Zhou Cuisine Restaurant","118 Eldridge St",40.7184290357839,-73.9916928979573,"10002"
"oe8GEFE4QLFAKt87y7zcgA","Chinese",4,477,"Very Fresh Noodles","425 W 15th St",40.7423387008486,-74.0061374945942,"10011"
"neQM053ovAOrf1sVSAPI9w","Chinese",4,769,"Radiance Tea House and Books","158 W 55th St",40.7639799,-73.98065,"10019"
"L37A2JWXfwR_PgKColA8xA","Chinese",3.5,1252,"Big Wong","67 Mott St",40.71624,-73.99842,"10013"
"LpVbI-E9C-CSp7WhU5h2Iw","Chinese",4.5,422,"Fishmarket Restaurant","111 South St",40.70717,-74.00192,"10038"
"bVkjBJlAIwKAj9Aw1KVWjA","Chinese",4,651,"Dim Sum Palace","334 W 46th St",40.76015,-73.9893699,"10036"
"FH978pIP1TLRuPAH-MbWIQ","Chinese",3.5,1947,"Jing Fong Restaurant","20 Elizabeth St",40.7159552385198,-73.9971831076206,"10013"
"_usWsAYSKKV2q8xw-3ajrA","Chinese",3.5,1558,"Nom Wah Tea Parlor","13 Doyers St",40.714490521829,-73.998153857324,"10013"
